id,mif_id,category_id,title,isbn,authors,url,created_at,updated_at
8,18432,14,В мире животных. Стикербук,<null>,Сара Уэйд,http://www.mann-ivanov-ferber.ru/books/v-mire-zhivotnyix-stikerbuk/,2017-02-28 16:57:19,2017-02-28 16:57:19
9,18431,14,Вокруг света. Стикербук,<null>,Сара Уэйд,http://www.mann-ivanov-ferber.ru/books/vokrug-sveta-stikerbuk/,2017-02-28 16:57:19,2017-02-28 16:57:19
12,18425,14,Цветные выходные. Чем заняться в хмурый день,<null>,Элизабет Голдинг,http://www.mann-ivanov-ferber.ru/books/czvetnyie-vyixodnyie-chem-zanyatsya-v-xmuryij-den/,2017-02-28 16:57:19,2017-02-28 16:57:19
13,17703,14,Великие сооружения,<null>,Розенн Ботуон,http://www.mann-ivanov-ferber.ru/books/velikie-sooruzheniya/,2017-02-28 16:57:19,2017-02-28 16:57:19
14,18424,14,Великие изобретения Леонардо да Винчи и Жюля Верна,<null>,Розенн Ботуон,http://www.mann-ivanov-ferber.ru/books/velikie-izobreteniya-leonardo-da-vinchi-i-zhyulya-verna/,2017-02-28 16:57:19,2017-02-28 16:57:19
15,18417,<null>,Подарочный пакет МИФа,<null>,<null>,http://www.mann-ivanov-ferber.ru/books/podarochnyij-paket-mifa/,2017-02-28 16:57:19,2017-02-28 16:57:19
16,18406,14,Кто пришел потом?,<null>,"Антон Пуатье, София Тульяту",http://www.mann-ivanov-ferber.ru/books/kto-prishel-potom/,2017-02-28 16:57:19,2017-02-28 16:57:19
19,18145,12,Отсюда туда,<null>,Шон Джексон,http://www.mann-ivanov-ferber.ru/books/otsyuda-tuda/,2017-02-28 16:57:19,2017-02-28 16:57:19
20,18386,14,Цветные выходные. Чем заняться в ясный день,<null>,Элизабет Голдинг,http://www.mann-ivanov-ferber.ru/books/czvetnyie-vyixodnyie-chem-zanyatsya-v-yasnyij-den/,2017-02-28 16:57:19,2017-02-28 16:57:19
24,18349,14,Удивительные поезда,<null>,Стивен Бисти,http://www.mann-ivanov-ferber.ru/books/udivitelnyie-poezda/,2017-02-28 16:57:19,2017-02-28 16:57:19
27,18187,12,Узор на кожуре банана,<null>,<null>,http://www.mann-ivanov-ferber.ru/books/uzor-na-kozhure-banana/,2017-02-28 16:57:19,2017-02-28 16:57:19
28,18248,14,Творческий год,<null>,Джин Ван’т Хал,http://www.mann-ivanov-ferber.ru/books/tvorcheskij-god/,2017-02-28 16:57:19,2017-02-28 16:57:19
29,18361,14,Натвори что хочешь! Каракули,<null>,Labor Ateliergemeinschaft,http://www.mann-ivanov-ferber.ru/books/natvori-chto-hochesh-karakuli/,2017-02-28 16:57:19,2017-02-28 16:57:19
33,18039,12,Живопись с нуля,<null>,Клэр Ватсон Гарсия,http://www.mann-ivanov-ferber.ru/books/zhivopis-s-nulya/,2017-02-28 16:57:19,2017-02-28 16:57:19
36,18335,14,Открываем космос,<null>,"Мартин Дженкинс, Стивен Бисти",http://www.mann-ivanov-ferber.ru/books/otkryivaem-kosmos/,2017-02-28 16:57:19,2017-02-28 16:57:19
39,17342,11,Тренируем мозг. Тетрадь для развития памяти и интеллекта №1,<null>,Рюта Кавашима,http://www.mann-ivanov-ferber.ru/books/treniruem-mozg/,2017-02-28 16:57:19,2017-02-28 16:57:19
7,16692,10,"Смешать, но не взбалтывать",<null>,"Александр Шумович, Алексей Берлов",http://www.mann-ivanov-ferber.ru/books/smeshat-no-ne-vzbaltyvat/,2017-02-28 16:57:19,2017-02-28 17:03:41
4,18459,14,Kumon. Математика. Задачи. Уровень 3,<null>,<null>,http://www.mann-ivanov-ferber.ru/books/kumon-matematika-zadachi-uroven-3/,2017-02-28 16:57:19,2017-02-28 17:02:19
5,18457,14,Kumon. Математика. Задачи. Уровень 1,<null>,<null>,http://www.mann-ivanov-ferber.ru/books/kumon-matematika-zadachi-uroven-1/,2017-02-28 16:57:19,2017-02-28 17:02:19
6,18458,14,Kumon. Математика. Задачи. Уровень 2,<null>,<null>,http://www.mann-ivanov-ferber.ru/books/kumon-matematika-zadachi-uroven-2/,2017-02-28 16:57:19,2017-02-28 17:02:19
2,17947,9,Канбан,<null>,Дэвид Андерсон,http://www.mann-ivanov-ferber.ru/books/kanban/,2017-02-28 16:57:19,2017-02-28 17:03:41
10,18407,14,Животные Юга,<null>,Дитер Браун,http://www.mann-ivanov-ferber.ru/books/zhivotnyie-yuga/,2017-02-28 16:57:19,2017-02-28 17:03:41
11,17941,11,Меняем привычки,<null>,М. Дж.  Райан,http://www.mann-ivanov-ferber.ru/books/menyaem-privyichki/,2017-02-28 16:57:19,2017-02-28 17:03:41
17,16310,14,Переходный возраст,<null>,Лоуренс Стейнберг,http://www.mann-ivanov-ferber.ru/books/perehodnyj-vozrast/,2017-02-28 16:57:19,2017-02-28 17:03:41
