ID,CategoryID,Title,Authors,ISBN,URL
"18488","14","KUMON. Давай вырезать! Вкусные задания","","","http://www.mann-ivanov-ferber.ru/books/kumon-davaj-vyirezat-vkusnyie-zadaniya/"
"17947","9","Канбан","Дэвид Андерсон","","http://www.mann-ivanov-ferber.ru/books/kanban/"
"18173","11","Тренируем мозг. Тетрадь для развития памяти и интеллекта №3","Рюта Кавашима","","http://www.mann-ivanov-ferber.ru/books/treniruem-mozg-3/"
"18459","14","Kumon. Математика. Задачи. Уровень 3","","","http://www.mann-ivanov-ferber.ru/books/kumon-matematika-zadachi-uroven-3/"
"18457","14","Kumon. Математика. Задачи. Уровень 1","","","http://www.mann-ivanov-ferber.ru/books/kumon-matematika-zadachi-uroven-1/"
"18458","14","Kumon. Математика. Задачи. Уровень 2","","","http://www.mann-ivanov-ferber.ru/books/kumon-matematika-zadachi-uroven-2/"
"16692","10","Смешать, но не взбалтывать","Александр Шумович, Алексей Берлов","","http://www.mann-ivanov-ferber.ru/books/smeshat-no-ne-vzbaltyvat/"
"18432","14","В мире животных. Стикербук","Сара Уэйд","","http://www.mann-ivanov-ferber.ru/books/v-mire-zhivotnyix-stikerbuk/"
"18431","14","Вокруг света. Стикербук","Сара Уэйд","","http://www.mann-ivanov-ferber.ru/books/vokrug-sveta-stikerbuk/"
"18407","14","Животные Юга","Дитер Браун","","http://www.mann-ivanov-ferber.ru/books/zhivotnyie-yuga/"
"17941","11","Меняем привычки","М. Дж.  Райан","","http://www.mann-ivanov-ferber.ru/books/menyaem-privyichki/"
"18425","14","Цветные выходные. Чем заняться в хмурый день","Элизабет Голдинг","","http://www.mann-ivanov-ferber.ru/books/czvetnyie-vyixodnyie-chem-zanyatsya-v-xmuryij-den/"
"17703","14","Великие сооружения","Розенн Ботуон","","http://www.mann-ivanov-ferber.ru/books/velikie-sooruzheniya/"
"18424","14","Великие изобретения Леонардо да Винчи и Жюля Верна","Розенн Ботуон","","http://www.mann-ivanov-ferber.ru/books/velikie-izobreteniya-leonardo-da-vinchi-i-zhyulya-verna/"
"18417","","Подарочный пакет МИФа","","","http://www.mann-ivanov-ferber.ru/books/podarochnyij-paket-mifa/"
"18406","14","Кто пришел потом?","Антон Пуатье, София Тульяту","","http://www.mann-ivanov-ferber.ru/books/kto-prishel-potom/"
"16310","14","Переходный возраст","Лоуренс Стейнберг","","http://www.mann-ivanov-ferber.ru/books/perehodnyj-vozrast/"
"17774","9","Управление на основе данных","Тим Филлипс","","http://www.mann-ivanov-ferber.ru/books/upravlenie-na-osnove-dannyix/"
"18145","12","Отсюда туда","Шон Джексон","","http://www.mann-ivanov-ferber.ru/books/otsyuda-tuda/"
"18386","14","Цветные выходные. Чем заняться в ясный день","Элизабет Голдинг","","http://www.mann-ivanov-ferber.ru/books/czvetnyie-vyixodnyie-chem-zanyatsya-v-yasnyij-den/"
"17399","15","Женщина","Джон Готтман, Джули Шварц-Готтман, Дуглас Абрамс, Рэчел Карлтон Адамс","","http://www.mann-ivanov-ferber.ru/books/zhenshhina/"
"18359","14","Слоненок, который хочет уснуть","Карл-Йохан Форссен Эрлин","","http://www.mann-ivanov-ferber.ru/books/slonenok-kotoryij-xochet-usnut/"
"17618","12","Творческие права","Дэнни Грэгори","","http://www.mann-ivanov-ferber.ru/books/tvorcheskie-prava/"
"18349","14","Удивительные поезда","Стивен Бисти","","http://www.mann-ivanov-ferber.ru/books/udivitelnyie-poezda/"
"16699","11","Привычка достигать","Бернард Рос","","http://www.mann-ivanov-ferber.ru/books/privychka-dostigat/"
"17396","11","Однозадачность","Девора Зак","","http://www.mann-ivanov-ferber.ru/books/odnozadachnost/"
"18187","12","Узор на кожуре банана","","","http://www.mann-ivanov-ferber.ru/books/uzor-na-kozhure-banana/"
"18248","14","Творческий год","Джин Ван’т Хал","","http://www.mann-ivanov-ferber.ru/books/tvorcheskij-god/"
"18361","14","Натвори что хочешь! Каракули","Labor Ateliergemeinschaft","","http://www.mann-ivanov-ferber.ru/books/natvori-chto-hochesh-karakuli/"
"17471","12","Творческий девичник","Джулия Ротман, Ли Горин, Рэйчел Коул","","http://www.mann-ivanov-ferber.ru/books/tvorcheskij-devichnik/"
"17673","11","Мастерство","Джордж Леонард","","http://www.mann-ivanov-ferber.ru/books/masterstvo/"
"17775","9","Книга продаж девелопера","Сергей Разуваев, Анна Печеркина","","http://www.mann-ivanov-ferber.ru/books/kniga-prodazh-developera/"
